department_name,branch_id,created_at,updated_at,is_deleted
HR Dept,1,2025-11-10 09:11:08,2025-11-10 09:11:08,False
Finance Dept,1,2025-11-10 09:11:08,2025-11-10 09:11:08,False
Engineering Dept,1,2025-11-10 09:11:08,2025-11-10 09:11:08,False
Marketing Dept,1,2025-11-10 09:11:08,2025-11-10 09:11:08,False
Sales Dept,1,2025-11-10 09:11:08,2025-11-10 09:11:08,False
HR Dept,2,2025-11-10 09:11:08,2025-11-10 09:11:08,False
Finance Dept,2,2025-11-10 09:11:08,2025-11-10 09:11:08,False
Engineering Dept,2,2025-11-10 09:11:08,2025-11-10 09:11:08,False
Marketing Dept,2,2025-11-10 09:11:08,2025-11-10 09:11:08,False
Sales Dept,2,2025-11-10 09:11:08,2025-11-10 09:11:08,False
HR Dept,3,2025-11-10 09:11:08,2025-11-10 09:11:08,False
Finance Dept,3,2025-11-10 09:11:08,2025-11-10 09:11:08,False
Engineering Dept,3,2025-11-10 09:11:08,2025-11-10 09:11:08,False
Marketing Dept,3,2025-11-10 09:11:08,2025-11-10 09:11:08,False
Sales Dept,3,2025-11-10 09:11:08,2025-11-10 09:11:08,False
HR Dept,4,2025-11-10 09:11:08,2025-11-10 09:11:08,False
Finance Dept,4,2025-11-10 09:11:08,2025-11-10 09:11:08,False
Engineering Dept,4,2025-11-10 09:11:08,2025-11-10 09:11:08,False
Marketing Dept,4,2025-11-10 09:11:08,2025-11-10 09:11:08,False
Sales Dept,4,2025-11-10 09:11:08,2025-11-10 09:11:08,False
HR Dept,5,2025-11-10 09:11:08,2025-11-10 09:11:08,False
Finance Dept,5,2025-11-10 09:11:08,2025-11-10 09:11:08,False
Engineering Dept,5,2025-11-10 09:11:08,2025-11-10 09:11:08,False
Marketing Dept,5,2025-11-10 09:11:08,2025-11-10 09:11:08,False
Sales Dept,5,2025-11-10 09:11:08,2025-11-10 09:11:08,False
HR Dept,6,2025-11-10 09:11:08,2025-11-10 09:11:08,False
Finance Dept,6,2025-11-10 09:11:08,2025-11-10 09:11:08,False
Engineering Dept,6,2025-11-10 09:11:08,2025-11-10 09:11:08,False
Marketing Dept,6,2025-11-10 09:11:08,2025-11-10 09:11:08,False
Sales Dept,6,2025-11-10 09:11:08,2025-11-10 09:11:08,False
HR Dept,7,2025-11-10 09:11:08,2025-11-10 09:11:08,False
Finance Dept,7,2025-11-10 09:11:08,2025-11-10 09:11:08,False
Engineering Dept,7,2025-11-10 09:11:08,2025-11-10 09:11:08,False
Marketing Dept,7,2025-11-10 09:11:08,2025-11-10 09:11:08,False
Sales Dept,7,2025-11-10 09:11:08,2025-11-10 09:11:08,False
HR Dept,8,2025-11-10 09:11:08,2025-11-10 09:11:08,False
Finance Dept,8,2025-11-10 09:11:08,2025-11-10 09:11:08,False
Engineering Dept,8,2025-11-10 09:11:08,2025-11-10 09:11:08,False
Marketing Dept,8,2025-11-10 09:11:08,2025-11-10 09:11:08,False
Sales Dept,8,2025-11-10 09:11:08,2025-11-10 09:11:08,False
HR Dept,9,2025-11-10 09:11:08,2025-11-10 09:11:08,False
Finance Dept,9,2025-11-10 09:11:08,2025-11-10 09:11:08,False
Engineering Dept,9,2025-11-10 09:11:08,2025-11-10 09:11:08,False
Marketing Dept,9,2025-11-10 09:11:08,2025-11-10 09:11:08,False
Sales Dept,9,2025-11-10 09:11:08,2025-11-10 09:11:08,False
HR Dept,10,2025-11-10 09:11:08,2025-11-10 09:11:08,False
Finance Dept,10,2025-11-10 09:11:08,2025-11-10 09:11:08,False
Engineering Dept,10,2025-11-10 09:11:08,2025-11-10 09:11:08,False
Marketing Dept,10,2025-11-10 09:11:08,2025-11-10 09:11:08,False
Sales Dept,10,2025-11-10 09:11:08,2025-11-10 09:11:08,False
